"Source:","C:\Users\Florian\Documents\dev\stomp\fuzz_factory_mod\cad\fuzz_factory_mod\fuzz_factory_mod.sch"
"Date:","13/06/2020 12:42:10"
"Tool:","Eeschema (5.1.4)-1"
"Generator:","C:\dev\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","376"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Supplier reference"
"","","R1913","100k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1914","100k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1915","1k","Device:R","Resistors_SMD:R_0603","~",""
"","","R1916","1k","Device:R","Resistors_SMD:R_0603","~",""
"","","R2201","10k","Device:R","Resistors_SMD:R_0603","",""
"","","R2202","10k","Device:R","Resistors_SMD:R_0603","",""
"","","R2203","10k","Device:R","Resistors_SMD:R_0603","",""
"","","R2204","10k","Device:R","Resistors_SMD:R_0603","",""
"","","R2205","100","Device:R","Resistors_SMD:R_0603","",""
"","","R2206","10k","Device:R","Resistors_SMD:R_0603","",""
"","","R2207","10k","Device:R","Resistors_SMD:R_0603","",""
"","","R2801","1k","Device:R","Resistors_SMD:R_0603","~",""
"","","R2802","1k","Device:R","Resistors_SMD:R_0603","~",""
"","","R2803","1k","Device:R","Resistors_SMD:R_0603","~",""
"","","R2804","1k","Device:R","Resistors_SMD:R_0603","~",""
"","","R2805","1k","Device:R","Resistors_SMD:R_0603","~",""
"","","R2806","1k","Device:R","Resistors_SMD:R_0603","~",""
"","","RV801","R_POT_TRIM","Device:R_POT_TRIM","Potentiometers:Potentiometer_Trimmer_Bourns_3266X","~",""
"","","RV1301","R_POT_TRIM","Device:R_POT_TRIM","Potentiometers:Potentiometer_Trimmer_Bourns_3266X","~",""
"","","SW1101","SW_PUSH","Switch:SW_Push","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","",""
